"","past_pts","window","seasonality","age_int","pts_target","sex","reg_type","Variable","Estimate","Std_Error","z_stat","p_value"
"3.1","high","4 yr.","mnwk","no","1","All","LPM","policyTRUE",-4.39221663331254e-06,4.83862567157874e-07,-9.07740530355896,1.11194067560738e-19
"3.2","high","4 yr.","mnwk","no","1","All","LPM","age_grp16-19",6.99679714989291e-05,7.10321783303926e-06,9.85017961486222,6.84217307726192e-23
"3.3","high","4 yr.","mnwk","no","1","All","LPM","age_grp20-24",7.66555379156995e-05,6.78028064126408e-06,11.3056585665764,1.23028089564209e-29
"3.4","high","4 yr.","mnwk","no","1","All","LPM","age_grp25-34",9.45532190602043e-05,6.75993969219833e-06,13.9872873672717,1.8638804619965e-44
"3.5","high","4 yr.","mnwk","no","1","All","LPM","age_grp35-44",9.62188843325593e-05,6.76291923642276e-06,14.2274188067126,6.19261311700097e-46
"3.6","high","4 yr.","mnwk","no","1","All","LPM","age_grp45-54",9.55654602097918e-05,6.76689700751951e-06,14.1224936782099,2.76049821116586e-45
"3.7","high","4 yr.","mnwk","no","1","All","LPM","age_grp55-64",9.07149544474073e-05,6.78065751756681e-06,13.3784893592384,8.07728938014842e-41
"3.8","high","4 yr.","mnwk","no","1","All","LPM","age_grp65-199",7.56044298879489e-05,6.79535487392128e-06,11.1258986897208,9.38555454488211e-29
"3.9","high","4 yr.","mnwk","no","1","All","LPM","curr_pts_grp1-3",2.70954901753117e-05,4.84522923853957e-07,55.9219984057529,0
"3.10","high","4 yr.","mnwk","no","1","All","LPM","curr_pts_grp4-6",6.57677197973153e-05,7.21984622133552e-07,91.0929648376219,0
"3.11","high","4 yr.","mnwk","no","1","All","LPM","curr_pts_grp7-9",0.000108986716712777,1.16007541324742e-06,93.9479584415022,0
"3.12","high","4 yr.","mnwk","no","1","All","LPM","curr_pts_grp10-150",0.000194991218178176,1.78956820149594e-06,108.959925648645,0
"3.13","high","4 yr.","mnwk","no","1","All","LPM","month02",1.23568775777332e-05,1.19208247208697e-06,10.3657908467525,3.54812047431285e-25
"3.14","high","4 yr.","mnwk","no","1","All","LPM","month03",1.55289663008626e-05,1.17396493144379e-06,13.2277940208695,6.06415831051133e-40
"3.15","high","4 yr.","mnwk","no","1","All","LPM","month04",8.6658024851654e-06,1.16457043946125e-06,7.44120079947617,9.97742168265087e-14
"3.16","high","4 yr.","mnwk","no","1","All","LPM","month05",1.45864041466348e-05,1.17959450749116e-06,12.3656087358851,4.01162696347249e-35
"3.17","high","4 yr.","mnwk","no","1","All","LPM","month06",1.03118115680381e-05,1.16925404887436e-06,8.81913693432605,1.15345464412424e-18
"3.18","high","4 yr.","mnwk","no","1","All","LPM","month07",5.40607409119865e-06,1.1372850898681e-06,4.75349069407533,1.99934334804025e-06
"3.19","high","4 yr.","mnwk","no","1","All","LPM","month08",-3.4574800227641e-07,1.10863460044196e-06,-0.311868312732236,0.755140605115585
"3.20","high","4 yr.","mnwk","no","1","All","LPM","month09",2.40872826558147e-05,1.22542139713002e-06,19.6563261521531,5.10392024506469e-86
"3.21","high","4 yr.","mnwk","no","1","All","LPM","month10",1.3575825811221e-05,1.1705398455093e-06,11.5979185700545,4.222242077852e-31
"3.22","high","4 yr.","mnwk","no","1","All","LPM","month11",1.10207238533517e-05,1.16629609512365e-06,9.44933615008227,3.4098695981181e-21
"3.23","high","4 yr.","mnwk","no","1","All","LPM","month12",-2.51711107068575e-05,9.86778978434621e-07,-25.5083572481325,1.59246920569885e-143
"3.24","high","4 yr.","mnwk","no","1","All","LPM","weekdayMonday",3.39943450174589e-05,8.30648172024402e-07,40.9250825588529,0
"3.25","high","4 yr.","mnwk","no","1","All","LPM","weekdayTuesday",4.2820663841976e-05,8.61655012622915e-07,49.6958332681523,0
"3.26","high","4 yr.","mnwk","no","1","All","LPM","weekdayWednesday",4.5416367000111e-05,8.70256879778907e-07,52.1873116494628,0
"3.27","high","4 yr.","mnwk","no","1","All","LPM","weekdayThursday",4.10335005202306e-05,8.56935475574155e-07,47.8840025764341,0
"3.28","high","4 yr.","mnwk","no","1","All","LPM","weekdayFriday",2.95724339977613e-05,8.16317771553598e-07,36.2266203533456,2.32084864069691e-287
"3.29","high","4 yr.","mnwk","no","1","All","LPM","weekdaySaturday",3.74930980547719e-06,7.13786448227314e-07,5.25270522407449,1.49881338383339e-07
"4","high","4 yr.","mnwk","with","1","All","LPM","(Intercept)",-8.95484384461419e-05,8.40045551628959e-06,-10.6599503172769,1.56681560110267e-26
"4.1","high","4 yr.","mnwk","with","1","All","LPM","policyTRUE",-4.14540214235284e-05,8.34452003084195e-06,-4.96781375924694,6.77119552357522e-07
"4.2","high","4 yr.","mnwk","with","1","All","LPM","age_grp16-19",8.76533070619597e-05,8.83548892097803e-06,9.92059498301731,3.38731608761359e-23
