"","past_pts","window","seasonality","age_int","pts_target","sex","reg_type","Variable","Estimate","Std_Error","z_stat","p_value"
"17","high","4 yr.","excluded","no","all","Male","LPM","(Intercept)",-0.000271717785337447,5.21877905163304e-05,-5.20653935813631,1.92394942971202e-07
"17.1","high","4 yr.","excluded","no","all","Male","LPM","policyTRUE",-0.000379233938830389,2.11453296955464e-06,-179.34642982193,0
"17.2","high","4 yr.","excluded","no","all","Male","LPM","age_grp16-19",0.00118723929801017,5.32461859192074e-05,22.2971707271505,3.93638906065451e-110
"17.3","high","4 yr.","excluded","no","all","Male","LPM","age_grp20-24",0.00102851288609275,5.2263807124642e-05,19.6792568830641,3.24742052985963e-86
"17.4","high","4 yr.","excluded","no","all","Male","LPM","age_grp25-34",0.00104026266544864,5.21950943075523e-05,19.9302765757838,2.2233960795631e-88
"17.5","high","4 yr.","excluded","no","all","Male","LPM","age_grp35-44",0.000971513804622265,5.21996489253035e-05,18.6115007404069,2.59261638961903e-77
"17.6","high","4 yr.","excluded","no","all","Male","LPM","age_grp45-54",0.00092188166654581,5.22054752789276e-05,17.6587160948216,8.72029969796983e-70
"17.7","high","4 yr.","excluded","no","all","Male","LPM","age_grp55-64",0.000837980232777261,5.22330096730589e-05,16.0431159916385,6.38689799889815e-58
"17.8","high","4 yr.","excluded","no","all","Male","LPM","age_grp65-199",0.0007003133466686,5.22747674174028e-05,13.3967759450128,6.31478098475715e-41
"17.9","high","4 yr.","excluded","no","all","Male","LPM","curr_pts_grp1-3",0.00041700290359917,2.24293897504263e-06,185.918078128382,0
"17.10","high","4 yr.","excluded","no","all","Male","LPM","curr_pts_grp4-6",0.000890633383475083,3.17297866149114e-06,280.693152552286,0
"17.11","high","4 yr.","excluded","no","all","Male","LPM","curr_pts_grp7-9",0.00131427619755665,4.75590347474496e-06,276.346272487611,0
"17.12","high","4 yr.","excluded","no","all","Male","LPM","curr_pts_grp10-150",0.00209167834012867,6.55109983017719e-06,319.286592228911,0
"18","high","4 yr.","excluded","with","all","Male","LPM","(Intercept)",-0.000153614830475408,6.4235045960135e-05,-2.39144890735726,0.0167820197735706
"18.1","high","4 yr.","excluded","with","all","Male","LPM","policyTRUE",-0.000994724362643047,6.42331847728082e-05,-15.4861442128609,4.30344227764402e-54
"18.2","high","4 yr.","excluded","with","all","Male","LPM","age_grp16-19",0.00149870622941196,6.57624723619832e-05,22.7896880330544,5.80316308422433e-115
"18.3","high","4 yr.","excluded","with","all","Male","LPM","age_grp20-24",0.00108194649296543,6.44154004717399e-05,16.7963947292403,2.59341441857069e-63
"18.4","high","4 yr.","excluded","with","all","Male","LPM","age_grp25-34",0.000913694246623254,6.42825235381506e-05,14.2137270961522,7.53091826542224e-46
"18.5","high","4 yr.","excluded","with","all","Male","LPM","age_grp35-44",0.000819549441012586,6.42916059288715e-05,12.7473785912159,3.22407514809661e-37
"18.6","high","4 yr.","excluded","with","all","Male","LPM","age_grp45-54",0.000760059859868652,6.43068765398477e-05,11.8192625853579,3.10398785412327e-32
"18.7","high","4 yr.","excluded","with","all","Male","LPM","age_grp55-64",0.00065034690256811,6.43610411048287e-05,10.1046672242118,5.26742455161863e-24
"18.8","high","4 yr.","excluded","with","all","Male","LPM","age_grp65-199",0.000462715645945624,6.44540666029224e-05,7.17899847648471,7.02239812709619e-13
"18.9","high","4 yr.","excluded","with","all","Male","LPM","curr_pts_grp1-3",0.000411433580678213,2.2450261122739e-06,183.264496759678,0
"18.10","high","4 yr.","excluded","with","all","Male","LPM","curr_pts_grp4-6",0.000886944934459806,3.17349589531232e-06,279.485136807627,0
"18.11","high","4 yr.","excluded","with","all","Male","LPM","curr_pts_grp7-9",0.00131483510872475,4.75520215941758e-06,276.504565872293,0
"18.12","high","4 yr.","excluded","with","all","Male","LPM","curr_pts_grp10-150",0.00210225784547464,6.55134439222631e-06,320.889533447385,0
"18.13","high","4 yr.","excluded","with","all","Male","LPM","policyTRUE:age_grp16-19",-0.000935404009135174,6.68465626008269e-05,-13.9933000702059,1.71278014171167e-44
"18.14","high","4 yr.","excluded","with","all","Male","LPM","policyTRUE:age_grp20-24",0.000236392061651109,6.45853920993043e-05,3.66014750344227,0.000252070115564616
"18.15","high","4 yr.","excluded","with","all","Male","LPM","policyTRUE:age_grp25-34",0.000634594645079488,6.43622836037001e-05,9.85972854827367,6.2217529869665e-23
"18.16","high","4 yr.","excluded","with","all","Male","LPM","policyTRUE:age_grp35-44",0.000686027579134305,6.43843582283968e-05,10.6551901426227,1.64907914305341e-26
"18.17","high","4 yr.","excluded","with","all","Male","LPM","policyTRUE:age_grp45-54",0.000702540526552307,6.44059174212277e-05,10.9080121001546,1.05539355580838e-27
"18.18","high","4 yr.","excluded","with","all","Male","LPM","policyTRUE:age_grp55-64",0.000750193494342667,6.44912511597294e-05,11.6324847301321,2.81775680160761e-31
"18.19","high","4 yr.","excluded","with","all","Male","LPM","policyTRUE:age_grp65-199",0.000833325309679558,6.46233108414256e-05,12.8951194055098,4.79523479107041e-38
"19","high","4 yr.","excluded","no","1","Male","LPM","(Intercept)",-6.42569115431922e-05,6.93129112774358e-06,-9.27055441171614,1.85181220633379e-20
"19.1","high","4 yr.","excluded","no","1","Male","LPM","policyTRUE",-5.32749307355247e-06,5.72269896778856e-07,-9.30940645932873,1.28548951127847e-20
"19.2","high","4 yr.","excluded","no","1","Male","LPM","age_grp16-19",7.08206970793578e-05,7.33363265511513e-06,9.65697361865557,4.59231077921965e-22
"19.3","high","4 yr.","excluded","no","1","Male","LPM","age_grp20-24",7.87186025142255e-05,6.9638170704539e-06,11.3039446208622,1.25453955118487e-29
"19.4","high","4 yr.","excluded","no","1","Male","LPM","age_grp25-34",9.9927220846697e-05,6.93981611448529e-06,14.3991165181051,5.24097940498686e-47
