,past_pts,window,seasonality,age_int,pts_target,sex,reg_type,Variable,Estimate,Std_Error,z_stat,p_value,mfx
9.24,all,Monthly 4 yr.,mnwk,no,all,Male,Logit,curr_pts_grp10-150,2.004505543,0.002504685,800.3025226,0,NA
9.25,all,Monthly 4 yr.,mnwk,no,all,Male,Logit,month02,0.133529272,0.003377776,39.53170828,0,NA
9.26,all,Monthly 4 yr.,mnwk,no,all,Male,Logit,month03,0.141835202,0.003298836,42.99552501,0,NA
9.27,all,Monthly 4 yr.,mnwk,no,all,Male,Logit,month04,0.061720023,0.003428739,18.000792,1.92E-72,NA
9.28,all,Monthly 4 yr.,mnwk,no,all,Male,Logit,month05,0.101891805,0.003359288,30.3313733,4.42E-202,NA
9.29,all,Monthly 4 yr.,mnwk,no,all,Male,Logit,month06,0.097554182,0.003389123,28.78449196,3.35E-182,NA
9.3,all,Monthly 4 yr.,mnwk,no,all,Male,Logit,month07,0.098829969,0.003361584,29.39982204,5.52E-190,NA
9.31,all,Monthly 4 yr.,mnwk,no,all,Male,Logit,month08,-0.008271791,0.003443485,-2.4021568,0.01629872,NA
9.32,all,Monthly 4 yr.,mnwk,no,all,Male,Logit,month09,0.235377001,0.003274776,71.8757536,0,NA
9.33,all,Monthly 4 yr.,mnwk,no,all,Male,Logit,month10,0.187750705,0.00327783,57.27897014,0,NA
9.34,all,Monthly 4 yr.,mnwk,no,all,Male,Logit,month11,0.169052145,0.003312832,51.02950062,0,NA
9.35,all,Monthly 4 yr.,mnwk,no,all,Male,Logit,month12,-0.567494943,0.004029932,-140.8199824,0,NA
9.36,all,Monthly 4 yr.,mnwk,no,all,Male,Logit,weekdayMonday,0.349633013,0.002434186,143.6344973,0,NA
9.37,all,Monthly 4 yr.,mnwk,no,all,Male,Logit,weekdayTuesday,0.440482085,0.00239076,184.24357,0,NA
9.38,all,Monthly 4 yr.,mnwk,no,all,Male,Logit,weekdayWednesday,0.490061433,0.002368232,206.9313535,0,NA
9.39,all,Monthly 4 yr.,mnwk,no,all,Male,Logit,weekdayThursday,0.445532481,0.002390407,186.383533,0,NA
9.4,all,Monthly 4 yr.,mnwk,no,all,Male,Logit,weekdayFriday,0.375288532,0.002423615,154.8466082,0,NA
9.41,all,Monthly 4 yr.,mnwk,no,all,Male,Logit,weekdaySaturday,0.091933918,0.002578645,35.65202907,2.19E-278,NA
