"","past_pts","window","seasonality","age_int","pts_target","sex","reg_type","Variable","Estimate","Std_Error","z_stat","p_value"
"8.14","all","4 yr.","excluded","with","3","All","LPM","policyTRUE:age_grp20-24",-5.1056672089018e-05,5.02904543495029e-06,-10.1523584842146,3.23450659551119e-24
"8.15","all","4 yr.","excluded","with","3","All","LPM","policyTRUE:age_grp25-34",-4.26409046610488e-05,4.87277302162418e-06,-8.75084976702566,2.11752151508779e-18
"8.16","all","4 yr.","excluded","with","3","All","LPM","policyTRUE:age_grp35-44",-2.93987881395337e-05,4.85682456571197e-06,-6.05308833822868,1.42094897601027e-09
"8.17","all","4 yr.","excluded","with","3","All","LPM","policyTRUE:age_grp45-54",-2.50982732499896e-05,4.8445684330977e-06,-5.18070362646139,2.21050476054431e-07
"8.18","all","4 yr.","excluded","with","3","All","LPM","policyTRUE:age_grp55-64",-1.9142720018343e-05,4.84602664460036e-06,-3.95018876746634,7.80895817243828e-05
"8.19","all","4 yr.","excluded","with","3","All","LPM","policyTRUE:age_grp65-199",-6.73758475366641e-06,4.84225594364868e-06,-1.39141442172294,0.164099793902972
"9","all","4 yr.","excluded","no","4","All","LPM","(Intercept)",1.15098780708844e-05,7.85597515875082e-07,14.6511131187367,1.3252678695122e-48
"9.1","all","4 yr.","excluded","no","4","All","LPM","policyTRUE",-5.19507836608741e-07,3.91907931450611e-08,-13.2558643221593,4.17281767289444e-40
"9.2","all","4 yr.","excluded","no","4","All","LPM","age_grp16-19",2.94041988237408e-05,8.855615644298e-07,33.2040142716376,9.42131791085305e-242
"9.3","all","4 yr.","excluded","no","4","All","LPM","age_grp20-24",-3.76296075499989e-07,7.97314481984798e-07,-0.471954396919086,0.636959339424151
"9.4","all","4 yr.","excluded","no","4","All","LPM","age_grp25-34",-8.92504671676531e-06,7.86817775941166e-07,-11.3432194717379,8.01409071994483e-30
"9.5","all","4 yr.","excluded","no","4","All","LPM","age_grp35-44",-1.08239737060565e-05,7.8594881967006e-07,-13.7718556668873,3.76418939801487e-43
"9.6","all","4 yr.","excluded","no","4","All","LPM","age_grp45-54",-1.13273721849234e-05,7.85582271696411e-07,-14.4190781704667,3.92550902271488e-47
"9.7","all","4 yr.","excluded","no","4","All","LPM","age_grp55-64",-1.13771646823093e-05,7.85493191881306e-07,-14.484103490522,1.52702178060575e-47
"9.8","all","4 yr.","excluded","no","4","All","LPM","age_grp65-199",-1.11993284159095e-05,7.85429772853926e-07,-14.2588539459305,3.94886666264687e-46
"9.9","all","4 yr.","excluded","no","4","All","LPM","curr_pts_grp1-3",2.68768514939395e-06,6.9559100093227e-08,38.6388717765435,0
"9.10","all","4 yr.","excluded","no","4","All","LPM","curr_pts_grp4-6",1.02936002304325e-05,1.9698157756232e-07,52.2566645968499,0
"9.11","all","4 yr.","excluded","no","4","All","LPM","curr_pts_grp7-9",1.95368724680063e-05,4.33418370150064e-07,45.0762446022812,0
"9.12","all","4 yr.","excluded","no","4","All","LPM","curr_pts_grp10-150",4.53721677565115e-05,7.83295026008367e-07,57.9247489770564,0
"10","all","4 yr.","excluded","with","4","All","LPM","(Intercept)",1.32719981328706e-05,1.19603184155782e-06,11.0966929739797,1.30171757567831e-28
"10.1","all","4 yr.","excluded","with","4","All","LPM","policyTRUE",-4.07391478222339e-06,1.56810364437183e-06,-2.59798821133112,0.00937717133444814
"10.2","all","4 yr.","excluded","with","4","All","LPM","age_grp16-19",2.95771655163296e-05,1.34544586776311e-06,21.9831702077347,4.17284314416592e-107
"10.3","all","4 yr.","excluded","with","4","All","LPM","age_grp20-24",-1.8632046450827e-06,1.21306772412222e-06,-1.53594445555867,0.124552003749481
"10.4","all","4 yr.","excluded","with","4","All","LPM","age_grp25-34",-1.06605843699344e-05,1.19827217381016e-06,-8.89663016711542,5.75679452258148e-19
"10.5","all","4 yr.","excluded","with","4","All","LPM","age_grp35-44",-1.26492482398251e-05,1.19699751280556e-06,-10.5674808046823,4.21669646769097e-26
"10.6","all","4 yr.","excluded","with","4","All","LPM","age_grp45-54",-1.32048885575115e-05,1.19656903575889e-06,-11.0356261635474,2.57253389310117e-28
"10.7","all","4 yr.","excluded","with","4","All","LPM","age_grp55-64",-1.32585705941161e-05,1.19652546252638e-06,-11.0808929766706,1.55315768906144e-28
"10.8","all","4 yr.","excluded","with","4","All","LPM","age_grp65-199",-1.31019681462954e-05,1.19651548172135e-06,-10.950103317883,6.63718931681421e-28
