,past_pts,window,seasonality,age_int,pts_target,sex,reg_type,Variable,Estimate,Std_Error,z_stat,p_value
4.11,all,4 yr.,mnwk,with,1,All,LPM,curr_pts_grp7-9,0.000127014,1.10E-06,115.5193918,0
4.12,all,4 yr.,mnwk,with,1,All,LPM,curr_pts_grp10-150,0.000197686,1.65E-06,119.953482,0
4.13,all,4 yr.,mnwk,with,1,All,LPM,month02,7.59E-06,2.87E-07,26.43748392,5.08E-154
4.14,all,4 yr.,mnwk,with,1,All,LPM,month03,9.49E-06,2.83E-07,33.47027157,1.31E-245
4.15,all,4 yr.,mnwk,with,1,All,LPM,month04,7.04E-06,2.82E-07,24.99922947,6.23E-138
4.16,all,4 yr.,mnwk,with,1,All,LPM,month05,9.71E-06,2.85E-07,34.05592751,3.32E-254
4.17,all,4 yr.,mnwk,with,1,All,LPM,month06,8.18E-06,2.84E-07,28.79004607,2.86E-182
4.18,all,4 yr.,mnwk,with,1,All,LPM,month07,4.74E-06,2.74E-07,17.28608722,5.99E-67
4.19,all,4 yr.,mnwk,with,1,All,LPM,month08,2.61E-06,2.69E-07,9.706261529,2.84E-22
4.2,all,4 yr.,mnwk,with,1,All,LPM,month09,1.66E-05,3.02E-07,55.01798772,0
4.21,all,4 yr.,mnwk,with,1,All,LPM,month10,9.77E-06,2.85E-07,34.30383293,6.88E-258
4.22,all,4 yr.,mnwk,with,1,All,LPM,month11,7.42E-06,2.82E-07,26.3561543,4.36E-153
4.23,all,4 yr.,mnwk,with,1,All,LPM,month12,-1.17E-05,2.34E-07,-49.92642192,0
4.24,all,4 yr.,mnwk,with,1,All,LPM,weekdayMonday,1.62E-05,2.04E-07,79.31240829,0
4.25,all,4 yr.,mnwk,with,1,All,LPM,weekdayTuesday,2.09E-05,2.12E-07,98.56662243,0
4.26,all,4 yr.,mnwk,with,1,All,LPM,weekdayWednesday,2.20E-05,2.14E-07,102.8040434,0
4.27,all,4 yr.,mnwk,with,1,All,LPM,weekdayThursday,1.97E-05,2.10E-07,93.6517217,0
4.28,all,4 yr.,mnwk,with,1,All,LPM,weekdayFriday,1.43E-05,2.01E-07,71.16601707,0
4.29,all,4 yr.,mnwk,with,1,All,LPM,weekdaySaturday,2.29E-06,1.77E-07,12.91661075,3.63E-38
4.3,all,4 yr.,mnwk,with,1,All,LPM,policyTRUE:age_grp16-19,2.74E-06,1.61E-06,1.702780145,0.08860922
4.31,all,4 yr.,mnwk,with,1,All,LPM,policyTRUE:age_grp20-24,-8.59E-07,1.37E-06,-0.629240552,0.529191584
4.32,all,4 yr.,mnwk,with,1,All,LPM,policyTRUE:age_grp25-34,1.69E-06,1.29E-06,1.305745649,0.191639069
4.33,all,4 yr.,mnwk,with,1,All,LPM,policyTRUE:age_grp35-44,3.62E-06,1.28E-06,2.819173025,0.004814756
4.34,all,4 yr.,mnwk,with,1,All,LPM,policyTRUE:age_grp45-54,3.64E-06,1.28E-06,2.851919328,0.004345613
4.35,all,4 yr.,mnwk,with,1,All,LPM,policyTRUE:age_grp55-64,3.29E-06,1.28E-06,2.574085311,0.010050549
4.36,all,4 yr.,mnwk,with,1,All,LPM,policyTRUE:age_grp65-199,3.07E-06,1.27E-06,2.410051757,0.015950258
5,all,4 yr.,mnwk,no,2,All,LPM,(Intercept),-9.40E-05,1.16E-06,-80.76607789,0
5.1,all,4 yr.,mnwk,no,2,All,LPM,policyTRUE,-1.34E-06,2.65E-07,-5.065057281,4.08E-07
5.2,all,4 yr.,mnwk,no,2,All,LPM,age_grp16-19,0.000159037,1.45E-06,109.7108817,0
5.3,all,4 yr.,mnwk,no,2,All,LPM,age_grp20-24,0.000153521,1.21E-06,127.1595415,0
5.4,all,4 yr.,mnwk,no,2,All,LPM,age_grp25-34,0.000136468,1.10E-06,124.1212119,0
5.5,all,4 yr.,mnwk,no,2,All,LPM,age_grp35-44,0.000129603,1.09E-06,118.9701059,0
5.6,all,4 yr.,mnwk,no,2,All,LPM,age_grp45-54,0.00011489,1.08E-06,106.3778124,0
5.7,all,4 yr.,mnwk,no,2,All,LPM,age_grp55-64,9.20E-05,1.08E-06,84.97688684,0
5.8,all,4 yr.,mnwk,no,2,All,LPM,age_grp65-199,5.69E-05,1.08E-06,52.92653087,0
5.9,all,4 yr.,mnwk,no,2,All,LPM,curr_pts_grp1-3,0.000235502,5.47E-07,430.6949461,0
5.1,all,4 yr.,mnwk,no,2,All,LPM,curr_pts_grp4-6,0.000449899,1.27E-06,353.4462578,0
5.11,all,4 yr.,mnwk,no,2,All,LPM,curr_pts_grp7-9,0.000600056,2.40E-06,250.1015449,0
5.12,all,4 yr.,mnwk,no,2,All,LPM,curr_pts_grp10-150,0.000723499,3.21E-06,225.1188443,0
5.13,all,4 yr.,mnwk,no,2,All,LPM,month02,3.84E-05,6.42E-07,59.88407204,0
5.14,all,4 yr.,mnwk,no,2,All,LPM,month03,5.17E-05,6.37E-07,81.17329903,0
5.15,all,4 yr.,mnwk,no,2,All,LPM,month04,4.36E-05,6.38E-07,68.33515618,0
5.16,all,4 yr.,mnwk,no,2,All,LPM,month05,4.77E-05,6.37E-07,74.88064921,0
5.17,all,4 yr.,mnwk,no,2,All,LPM,month06,3.22E-05,6.26E-07,51.4507946,0
5.18,all,4 yr.,mnwk,no,2,All,LPM,month07,2.06E-05,6.09E-07,33.79992712,1.98E-250
5.19,all,4 yr.,mnwk,no,2,All,LPM,month08,4.60E-06,5.92E-07,7.770698705,7.81E-15
5.2,all,4 yr.,mnwk,no,2,All,LPM,month09,6.05E-05,6.53E-07,92.60488231,0
5.21,all,4 yr.,mnwk,no,2,All,LPM,month10,5.18E-05,6.39E-07,81.06400682,0
5.22,all,4 yr.,mnwk,no,2,All,LPM,month11,4.78E-05,6.40E-07,74.60602655,0
5.23,all,4 yr.,mnwk,no,2,All,LPM,month12,-6.48E-05,5.16E-07,-125.6372239,0
5.24,all,4 yr.,mnwk,no,2,All,LPM,weekdayMonday,7.21E-05,4.55E-07,158.3972635,0
5.25,all,4 yr.,mnwk,no,2,All,LPM,weekdayTuesday,9.20E-05,4.71E-07,195.4718453,0
5.26,all,4 yr.,mnwk,no,2,All,LPM,weekdayWednesday,0.000100071,4.77E-07,209.9592768,0
