"","past_pts","window","seasonality","age_int","pts_target","sex","reg_type","Variable","Estimate","Std_Error","z_stat","p_value","mfx"
"10.13","all","4 yr.","mnwk","with","4","All","LPM","month02",1.75092580724918e-07,8.68649950343973e-08,2.01568630327538,0.0438327887767531,NA
"10.14","all","4 yr.","mnwk","with","4","All","LPM","month03",2.35764495640174e-07,8.51402706791146e-08,2.76913021017689,0.00562061675377038,NA
"10.15","all","4 yr.","mnwk","with","4","All","LPM","month04",7.37282741771447e-07,8.93859389425821e-08,8.24830784901244,1.60653096713016e-16,NA
"10.16","all","4 yr.","mnwk","with","4","All","LPM","month05",1.18567598032968e-06,9.16882476687225e-08,12.9316025824119,2.98530840206246e-38,NA
"10.17","all","4 yr.","mnwk","with","4","All","LPM","month06",1.35867222518114e-06,9.37396696551737e-08,14.4941008452354,1.32019972224862e-47,NA
"10.18","all","4 yr.","mnwk","with","4","All","LPM","month07",1.39784746572061e-06,9.29747718330534e-08,15.0346963822681,4.35038951433469e-51,NA
"10.19","all","4 yr.","mnwk","with","4","All","LPM","month08",1.30487129019499e-06,9.2472628835538e-08,14.1108921269633,3.2543512526267e-45,NA
"10.20","all","4 yr.","mnwk","with","4","All","LPM","month09",1.33089510166282e-06,9.35220782252999e-08,14.2308118779891,5.89929479869304e-46,NA
"10.21","all","4 yr.","mnwk","with","4","All","LPM","month10",1.30600119716679e-06,9.23787800343312e-08,14.1374588047324,2.23199990407479e-45,NA
"10.22","all","4 yr.","mnwk","with","4","All","LPM","month11",9.02065960637041e-07,9.06152930247382e-08,9.95489757331332,2.40070023051899e-23,NA
"10.23","all","4 yr.","mnwk","with","4","All","LPM","month12",-1.5107386963056e-08,8.3325484173907e-08,-0.181305720726755,0.856127615958269,NA
"10.24","all","4 yr.","mnwk","with","4","All","LPM","weekdayMonday",-7.64619067925383e-07,7.04969420996272e-08,-10.8461309831682,2.08046688717049e-27,NA
"10.25","all","4 yr.","mnwk","with","4","All","LPM","weekdayTuesday",-5.63255533126993e-07,7.15064146453579e-08,-7.87699307706178,3.35353519924024e-15,NA
"10.26","all","4 yr.","mnwk","with","4","All","LPM","weekdayWednesday",-4.60766053667352e-07,7.2036848003503e-08,-6.39625506164492,1.59233940910524e-10,NA
"10.27","all","4 yr.","mnwk","with","4","All","LPM","weekdayThursday",-2.78689970656503e-07,7.30591241080942e-08,-3.81458132791421,0.000136414008417906,NA
