"","past_pts","window","seasonality","age_int","pts_target","sex","reg_type","Variable","Estimate","Std_Error","z_stat","p_value","AME","MER"
"5.1","all","4 yr.","mnwk","25-34","all","All","LPM","policyTRUE",-6.55465553655498e-05,1.10162892559125e-06,-59.4996680305669,0,NA,NA
"5.2","all","4 yr.","mnwk","25-34","all","All","LPM","curr_pts_grp1-3",0.000640897582890767,1.97817268940104e-06,323.984648218363,0,NA,NA
"5.3","all","4 yr.","mnwk","25-34","all","All","LPM","curr_pts_grp4-6",0.00122727884609267,4.26701831678958e-06,287.619774507097,0,NA,NA
"5.4","all","4 yr.","mnwk","25-34","all","All","LPM","curr_pts_grp7-9",0.00174310326158881,7.91808270134653e-06,220.142088348279,0,NA,NA
"5.5","all","4 yr.","mnwk","25-34","all","All","LPM","curr_pts_grp10-150",0.00237995858141004,1.05153697633268e-05,226.331421050959,0,NA,NA
"5.6","all","4 yr.","mnwk","25-34","all","All","LPM","month02",9.2573630992717e-05,2.67081533294264e-06,34.6611874849175,3.03098604196611e-263,NA,NA
"5.7","all","4 yr.","mnwk","25-34","all","All","LPM","month03",0.000116011261803778,2.63192125630987e-06,44.0785458628929,0,NA,NA
"5.8","all","4 yr.","mnwk","25-34","all","All","LPM","month04",0.000103090852309305,2.64420625136798e-06,38.9874474640436,0,NA,NA
"5.9","all","4 yr.","mnwk","25-34","all","All","LPM","month05",0.000112635443140187,2.63342961580596e-06,42.7713892424326,0,NA,NA
"5.10","all","4 yr.","mnwk","25-34","all","All","LPM","month06",0.000101033461110256,2.63928136406718e-06,38.280670824183,1.28555881047892e-320,NA,NA
"5.11","all","4 yr.","mnwk","25-34","all","All","LPM","month07",9.03613811283889e-05,2.60212594745045e-06,34.7259828898462,3.195121772984e-264,NA,NA
"5.12","all","4 yr.","mnwk","25-34","all","All","LPM","month08",3.02051912816459e-05,2.51852644187053e-06,11.9931999837223,3.85712305045154e-33,NA,NA
"5.13","all","4 yr.","mnwk","25-34","all","All","LPM","month09",0.000157374607643287,2.71060603124144e-06,58.058827372715,0,NA,NA
"5.14","all","4 yr.","mnwk","25-34","all","All","LPM","month10",0.000138320387860477,2.66307987345751e-06,51.9400072221244,0,NA,NA
"5.15","all","4 yr.","mnwk","25-34","all","All","LPM","month11",0.000118192843787439,2.65745920199372e-06,44.4758827148755,0,NA,NA
"5.16","all","4 yr.","mnwk","25-34","all","All","LPM","month12",-0.000190545654413389,2.19965054171199e-06,-86.6254210839723,0,NA,NA
"5.17","all","4 yr.","mnwk","25-34","all","All","LPM","weekdayMonday",0.000164478712640831,1.91794985421141e-06,85.7575667474676,0,NA,NA
"5.18","all","4 yr.","mnwk","25-34","all","All","LPM","weekdayTuesday",0.000217579522027137,1.97271784053529e-06,110.294294275809,0,NA,NA
"5.19","all","4 yr.","mnwk","25-34","all","All","LPM","weekdayWednesday",0.000242817569173314,1.99802776901827e-06,121.528625847189,0,NA,NA
"5.20","all","4 yr.","mnwk","25-34","all","All","LPM","weekdayThursday",0.000213242061070595,1.97195902575348e-06,108.13716628271,0,NA,NA
"5.21","all","4 yr.","mnwk","25-34","all","All","LPM","weekdayFriday",0.000171579207349034,1.92896875307576e-06,88.948671187882,0,NA,NA
"5.22","all","4 yr.","mnwk","25-34","all","All","LPM","weekdaySaturday",3.85753231037989e-05,1.77934921579301e-06,21.6794560401158,3.20657020434697e-104,NA,NA
"6","all","4 yr.","mnwk","35-44","all","All","LPM","(Intercept)",7.57038004064472e-05,1.89172269319681e-06,40.0184449225567,0,NA,NA
"6.1","all","4 yr.","mnwk","35-44","all","All","LPM","policyTRUE",-3.92211711275215e-05,9.56127957069837e-07,-41.0208391434544,0,NA,NA
"6.2","all","4 yr.","mnwk","35-44","all","All","LPM","curr_pts_grp1-3",0.00059383222901857,1.81064607221376e-06,327.967037916212,0,NA,NA
"6.3","all","4 yr.","mnwk","35-44","all","All","LPM","curr_pts_grp4-6",0.00116920428105583,4.19449210179251e-06,278.747522389224,0,NA,NA
"6.4","all","4 yr.","mnwk","35-44","all","All","LPM","curr_pts_grp7-9",0.00165503749063859,8.24650658590832e-06,200.695588295136,0,NA,NA
"6.5","all","4 yr.","mnwk","35-44","all","All","LPM","curr_pts_grp10-150",0.00226235580536577,1.25649791022007e-05,180.05249248441,0,NA,NA
"6.6","all","4 yr.","mnwk","35-44","all","All","LPM","month02",9.15491565487405e-05,2.37833384372018e-06,38.4929797767751,0,NA,NA
"6.7","all","4 yr.","mnwk","35-44","all","All","LPM","month03",9.97184199205305e-05,2.32745267023532e-06,42.8444458595364,0,NA,NA
"6.8","all","4 yr.","mnwk","35-44","all","All","LPM","month04",7.6415183771818e-05,2.30271847884436e-06,33.1847702938345,1.78583205226116e-241,NA,NA
"6.9","all","4 yr.","mnwk","35-44","all","All","LPM","month05",8.49797645863824e-05,2.29697774461132e-06,36.9963378120419,1.31171722373277e-299,NA,NA
"6.10","all","4 yr.","mnwk","35-44","all","All","LPM","month06",6.61190791714999e-05,2.29094905899358e-06,28.8609992928198,3.68784129092518e-183,NA,NA
"6.11","all","4 yr.","mnwk","35-44","all","All","LPM","month07",4.42478967975108e-05,2.24459315147179e-06,19.7131033606234,1.66443124526969e-86,NA,NA
"6.12","all","4 yr.","mnwk","35-44","all","All","LPM","month08",-1.90461565749572e-06,2.18121810254531e-06,-0.873189001720272,0.382560068683485,NA,NA
"6.13","all","4 yr.","mnwk","35-44","all","All","LPM","month09",0.00011869100700368,2.36429093940392e-06,50.2015234358613,0,NA,NA
